"";"Data/Hora";"Vaga";"Área(local)"
"";"20/07/2025 00:00 às 07:00 (Dom)";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"ALTOS FORNOS"
"";"20/07/2025 19:01 às 23:59 (Dom)";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"ALTOS FORNOS"
"";"20/07/2025 00:00 às 07:00 (Dom)";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"ESCRITÓRIO DOS GASÔMETROS"
"";"20/07/2025 15:00 às 23:59 (Dom)";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"ESCRITÓRIO DOS GASÔMETROS"
"";"20/07/2025 07:00 às 23:00 (Dom)";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"ESCRITÓRIO DOS GASÔMETROS"
"";"20/07/2025 07:01 às 19:00 (Dom)";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"SINTERIZAÇÃO 1"
"";"20/07/2025 00:00 às 06:59 (Dom)";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"COQUERIA 02"
"";"20/07/2025 00:00 às 06:59 (Dom)";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"CARBOQUÍMICO"
"";"20/07/2025 07:00 às 19:00 (Dom)";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"ENA"
"";"20/07/2025 19:01 às 23:59 (Dom)";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"ENA"
"";"20/07/2025 07:00 às 19:00 (Dom)";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"ETOL"
"";"20/07/2025 19:01 às 23:59 (Dom)";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"ETOL"
"";"20/07/2025 07:30 às 17:00 (Dom)";"CAMINHÃO HIPER VÁCUO - GPS - 02";"RH 2 - DESGASEIFICAÇÃO "
"";"20/07/2025 07:30 às 17:00 (Dom)";"CAMINHÃO ALTA PRESSÃO - GPS - 09";"RH 2 - DESGASEIFICAÇÃO "
"0";"--";"--";"--"
